cat,word/character,pronunciation,definition,code,alt
141,女,nǚ,"female, (=女人 nǚrén, =妇女 fùnǚ) woman",s,
141,女,nǚ,"female, (=女人 nǚrén, =妇女 fùnǚ) woman",t,
142,问,wèn,"ask, examine",s,
142,問,wèn,"ask, examine",t,
143,力,lì,"(=活力 nénglì) energy, vitality, <family name>, (=力量 lìliang) strength, force",s,
143,力,lì,"(=活力 nénglì) energy, vitality, <family name>, (=力量 lìliang) strength, force",t,
144,机,jī,(=机器 jīqi) machine,s,
144,機,jī,(=机器 jīqi) machine,t,
145,给,gěi,"give, give to, for, for the benefit of",s,
145,給,gěi,"give, give to, for, for the benefit of",t,
146,等,děng,"equal, class, wait, and so on, etc.",s,
146,等,děng,"equal, class, wait, and so on, etc.",t,
147,幾,jī,几乎 jīhū almost,t,
147,几,jī,"small table, (F 幾) 几乎 jīhū almost",s,
147,几,jī,small table,t,
147,幾,jǐ,how many?,t,
148,很,hěn,"very, quite",s,
148,很,hěn,"very, quite",t,
149,业,yè,"line of business, trade, occupation, profession, course of study, engage in, <family name>",s,
149,業,yè,"line of business, trade, occupation, profession, course of study, engage in, <family name>",t,
150,最,zuì,"most, marking for superlative",s,
150,最,zuì,"most, marking for superlative",t,
151,间,jiān,"room, between, locality, within given time or space, <classifier for rooms>",s,
151,間,jiān,"room, between, locality, within given time or space, <classifier for rooms>",t,
151,间,jiàn,"gap, interval",s,
151,間,jiàn,"gap, interval",t,
152,新,xīn,"new, renew",s,
152,新,xīn,"new, renew",t,
153,什,shén,什么 shénme what?,s,
153,甚,shén,什么 shénme what?,t,
153,什,shí,(=十 shí) ten,s,
153,甚,shí,(=十 shí) ten,t,
154,打,dǎ,"strike, hit, get, play, (generalized verb with specific meaning determined by its object)",s,
154,打,dǎ,"strike, hit, get, play, (generalized verb with specific meaning determined by its object)",t,
154,打,dá,dozen,s,
154,打,dá,dozen,t,
155,便,biàn,(=方便 fāngbiàn) convenient,s,
155,便,biàn,(=方便 fāngbiàn) convenient,t,
156,位,wèi,"place, location, position, <polite classifier for people>",s,
156,位,wèi,"place, location, position, <polite classifier for people>",t,
157,因,yīn,"cause, (=因为 yīnwèi) because, (=原因 yuányīn) reason",s,
157,因,yīn,"cause, (=因为 yīnwèi) because, (=原因 yuányīn) reason",t,
158,重,zhòng,"weight, considerable in amount/value, (=沉重 chénzhòng) heavy, weighty, (=重要 zhòngyào) important",s,
158,重,zhòng,"weight, considerable in amount/value, (=沉重 chénzhòng) heavy, weighty, (=重要 zhòngyào) important",t,
158,重,chóng,again,s,
158,重,chóng,again,t,
159,被,bèi,"quilt, cover (with), by (indicates passive voice)",s,
159,被,bèi,"quilt, cover (with), by (indicates passive voice)",t,
160,走,zǒu,"go, walk, leave",s,
160,走,zǒu,"go, walk, leave",t,
161,电,diàn,"(=闪电 shǎndiàn) (flash of) lightning, (=电气 diànqì) electricity",s,
161,電,diàn,"(=闪电 shǎndiàn) (flash of) lightning, (=电气 diànqì) electricity",t,
162,四,sì,four,s,肆
162,四,sì,four,t,肆
163,第,dì,"indicating ordinal number, ~th",s,
163,第,dì,"indicating ordinal number, ~th",t,
164,门,mén,"door, gate, family, house, valve, switch, <family name>, <classifier for courses, braches of science, etc.>",s,
164,門,mén,"door, gate, family, house, valve, switch, <family name>, <classifier for courses, braches of science, etc.>",t,
165,相,xiāng,"each other, mutual, mode, phase, <family name>",s,
165,相,xiāng,"each other, mutual, mode, phase, <family name>",t,
165,相,xiàng,"look at, appearance, photo",s,
165,相,xiàng,"look at, appearance, photo",t,
166,次,cì,"occurence, time, second, inferior, number of times",s,
166,次,cì,"occurence, time, second, inferior, number of times",t,
167,东,dōng,"master, owner, <family name> (=东方 dōngfāng) east",s,
167,東,dōng,"master, owner, <family name> (=东方 dōngfāng) east",t,
168,政,zhèng,"(=政治 zhèngzhì) politics, political affairs, (=政府 zhèngfǔ) government",s,
168,政,zhèng,"(=政治 zhèngzhì) politics, political affairs, (=政府 zhèngfǔ) government",t,
169,海,hǎi,"sea, big lake, <family name>, (=海洋 hǎiyáng, =大海 dàhǎi) sea, ocean",s,
169,海,hǎi,"sea, big lake, <family name>, (=海洋 hǎiyáng, =大海 dàhǎi) sea, ocean",t,
170,口,kǒu,"mouth, opening, entrance, hole, cut, <classifier for mouthfuls, people, wells, etc.>",s,
170,口,kǒu,"mouth, opening, entrance, hole, cut, <classifier for mouthfuls, people, wells, etc.>",t,
171,使,shǐ,"make, cause to (do), send (as envoy), (=使用 shǐyòng) use, apply{Compare with 吏 lì and 便 biàn official}",s,
171,使,shǐ,"make, cause to (do), send (as envoy), (=使用 shǐyòng) use, apply{Compare with 吏 lì and 便 biàn official}",t,
172,教,jiāo,teach,s,
172,教,jiāo,teach,t,
172,教,jiào,"cause, ask to, teach",s,
172,教,jiào,"cause, ask to, teach",t,
173,西,xī,"west, western",s,
173,西,xī,"west, western",t,
174,再,zài,"again, once more",s,
174,再,zài,"again, once more",t,
175,平,píng,"flat, level, even",s,
175,平,píng,"flat, level, even",t,
176,真,zhēn,"true, genuine, really{There are two ways of writing this character!}",s,
176,真,zhēn,"true, genuine, really{There are two ways of writing this character!}",t,
177,听,tīng,listen,s,
177,聽,tīng,listen,t,
178,世,shì,"generation, <family name>, (=世界 shìjiè) world",s,
178,世,shì,"generation, <family name>, (=世界 shìjiè) world",t,
179,气,qì,"air, gas, vapor, spirit, vital energy",s,
179,氣,qì,"air, gas, vapor, spirit, vital energy",t,
180,信,xìn,"letter, message, information, (=相信 xiāngxìn) belive in",s,
180,信,xìn,"letter, message, information, (=相信 xiāngxìn) belive in",t,
181,北,běi,north,s,
181,北,běi,north,t,
182,少,shǎo,"few, little, less, lack",s,
182,少,shǎo,"few, little, less, lack",t,
182,少,shào,young,s,
182,少,shào,young,t,
183,关,guān,"shut, close, turn off, close down, concern, key part",s,
183,關,guān,"shut, close, turn off, close down, concern, key part",t,
184,併,bìng,combine,t,
184,❹,bìng,and,t,
184,并,bìng,"(F 併) combine, merge, (F ❹) and, equally, truly",s,
184,并,bìng,"(F 併) combine, merge, equally, truly",t,
185,内,nèi,inside,s,
185,內,nèi,inside,t,
186,加,jiā,"add, plus, append, (=增加 zēngjiā) increase",s,
186,加,jiā,"add, plus, append, (=增加 zēngjiā) increase",t,
187,化,huà,"convert, melt, dissolve, digest, incinerate, (=变化 biànhuà) change, transform",s,
187,化,huà,"convert, melt, dissolve, digest, incinerate, (=变化 biànhuà) change, transform",t,
187,化,huā,(=花 huā) spend,s,
187,化,huā,(=花 huā) spend,t,
188,由,yóu,"from, let, (=由于 yóuyú) due to, (=理由 lǐyóu) cause, reason",s,
